accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
PRJEB102806,single-cell RNA-Seq of human induced pluripotent stem cells from a healthy donor and a DMD patient at different time point during myogenic differentiation,Myositis,ENA,single-cell transcriptomics,,,yes,no,unknown,10,70,2026-06-11,2026-06-11,https://www.ebi.ac.uk/ena/browser/view/PRJEB102806,auto-collected from public metadata; sample_size from ENA sample_accession
PRJEB102826,scRNAseq from iPSC lines derived from a healthy donor and a DMD patient differentiated into the myogenic lineage,Myositis,ENA,single-cell transcriptomics,,,yes,no,unknown,4,50,2026-06-11,2026-06-11,https://www.ebi.ac.uk/ena/browser/view/PRJEB102826,auto-collected from public metadata; sample_size from ENA sample_accession
PRJEB103814,Gene expression profile at single cell level of vessel associated kidney NKp46+ ILC from healthy and nephritic NZB/W lupus prone mice,SLE / Lupus nephritis,ENA,single-cell transcriptomics,kidney,,no,no,unknown,2,40,2026-06-11,2026-06-11,https://www.ebi.ac.uk/ena/browser/view/PRJEB103814,auto-collected from public metadata; sample_size from ENA sample_accession
GSE268626,Systemic reprogramming of monocytes in Crohn’s disease promotes their intestinal inflammatory function,IBD-associated disease,NCBI GEO,single-cell transcriptomics,gut,Homo sapiens,yes,no,unknown,20,50,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268626,auto-collected from public metadata; sample_size from samples
GSE277496,Single-cell multiomics of peripheral blood monocytes in Crohn's Disease,IBD-associated disease,NCBI GEO,single-cell transcriptomics,peripheral blood,Homo sapiens,no,no,unknown,12,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277496,auto-collected from public metadata; sample_size from samples
GSE293270,Single-cell RNA Sequencing of Human Embryonic Stem Cells Reveals Immediate and Deferred Transcriptomic Responses to ATRA Toxicity Across Cell Sub-populations,RA,NCBI GEO,single-cell transcriptomics,,Homo sapiens,no,no,unknown,10,60,2026-06-12,2026-06-15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293270,auto-collected from public metadata; sample_size from samples
GSE300153,Autophagy maintains HEV identity and function during inflammation.,Psoriasis / PsA,NCBI GEO,single-cell transcriptomics,,Mus musculus,no,no,unknown,12,25,2026-08-15,2026-08-15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300153,auto-collected from public metadata; sample_size from samples
GSE302677,Spatial transcriptomics reveals injury-responsive compartments and coordinated immune–fibrotic signaling in ANCA-associated renal vasculitis,Vasculitis,NCBI GEO,spatial transcriptomics,kidney,Homo sapiens,yes,no,unknown,3,75,2026-08-01,2026-08-15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302677,auto-collected from public metadata; sample_size from samples
GSE307415,Single-cell RNA and BCR sequencing of age-associated B cells in mouse and human lupus,SLE / Lupus nephritis,NCBI GEO,single-cell transcriptomics,peripheral blood,Homo sapiens; Mus musculus,no,no,unknown,8,65,2026-06-12,2026-06-15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307415,auto-collected from public metadata; sample_size from samples
GSE309906,Single-cell RNA sequencing of stem cell–like memory T (Tscm) cells from rheumatoid arthritis patients and healthy controls,RA,NCBI GEO,single-cell transcriptomics,,Homo sapiens,yes,no,unknown,11,70,2026-07-01,2026-07-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309906,auto-collected from public metadata; sample_size from samples
