accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
GSE268626,Systemic reprogramming of monocytes in Crohn’s disease promotes their intestinal inflammatory function,IBD-associated disease,NCBI GEO,single-cell transcriptomics,gut,Homo sapiens,yes,no,unknown,20,50,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268626,auto-collected from public metadata; sample_size from samples
GSE277496,Single-cell multiomics of peripheral blood monocytes in Crohn's Disease,IBD-associated disease,NCBI GEO,single-cell transcriptomics,peripheral blood,Homo sapiens,no,no,unknown,12,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277496,auto-collected from public metadata; sample_size from samples
GSE302677,Spatial transcriptomics reveals injury-responsive compartments and coordinated immune–fibrotic signaling in ANCA-associated renal vasculitis,Vasculitis,NCBI GEO,spatial transcriptomics,kidney,Homo sapiens,yes,no,unknown,3,75,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302677,auto-collected from public metadata; sample_size from samples
GSE310001,Reprogramming lineage-traced Müller glia for robust proliferation and neurogenesis in adult mammalian retinas,RA,NCBI GEO,single-cell transcriptomics,,Mus musculus,no,no,unknown,4,45,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310001,auto-collected from public metadata; sample_size from samples
GSE332819,Longitudinal CITE-seq analysis in juvenile-onset systemic sclerosis monocytes following autologous stem cell transplant,Systemic sclerosis,NCBI GEO,single-cell transcriptomics,PBMC,Homo sapiens,yes,no,unknown,15,70,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE332819,auto-collected from public metadata; sample_size from samples
GSE334922,Peripheral blood bulk RNA-seq validation cohort for chronic antibody-mediated rejection,RA,NCBI GEO,spatial transcriptomics,peripheral blood,Homo sapiens,yes,no,unknown,12,75,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334922,auto-collected from public metadata; sample_size from samples
GSE334923,Single-cell RNA-seq atlas of peripheral blood and kidney graft immune cells in chronic antibody-mediated rejection,RA,NCBI GEO,spatial transcriptomics,peripheral blood,Homo sapiens,yes,no,unknown,48,75,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334923,auto-collected from public metadata; sample_size from samples
GSE334924,Matched single-cell and Visium HD spatial transcriptomics of a chronic antibody-mediated rejection kidney graft,RA,NCBI GEO,spatial transcriptomics,peripheral blood,Homo sapiens,yes,no,unknown,2,75,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334924,auto-collected from public metadata; sample_size from samples
GSE338779,Single-cell RNA-seq of synovial fluid cells from osteoarthritis control patients,RA,NCBI GEO,single-cell transcriptomics,synovial fluid,Homo sapiens,yes,no,yes,3,85,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE338779,auto-collected from public metadata; sample_size from samples
GSE341410,Single-cell RNA sequencing of knee joint synovium from mice with collagen- and antibody-induced arthritis (C&AIA),RA,NCBI GEO,single-cell transcriptomics,synovial tissue,Mus musculus,no,no,unknown,3,65,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE341410,auto-collected from public metadata; sample_size from samples
SRR39218040,SRR39218040,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218040,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218041,SRR39218041,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218041,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218042,SRR39218042,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218042,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218043,SRR39218043,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218043,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218044,SRR39218044,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218044,auto-collected from public metadata; sample_size from BioSample accessions
SRR39218045,SRR39218045,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-08-01,2026-08-01,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39218045,auto-collected from public metadata; sample_size from BioSample accessions
